,path,label
0,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-idSbgFFphtl1YaOeJ8djsAHaNK.jpeg,dog
1,../UnsupervisedLearning-JigsawPuzzle/dataset/train/chicken/OIP-BDe3CuuflYAPLjvB-BxLCAHaFj.jpeg,chicken
2,../UnsupervisedLearning-JigsawPuzzle/dataset/train/sheep/OIP-sWhAckYnDojjraKjmAeQWgHaDf.jpeg,sheep
3,../UnsupervisedLearning-JigsawPuzzle/dataset/train/cow/OIP-Bjs6uBPYqQLn_9ATkatJLAHaEj.jpeg,cow
4,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-27k-WR7blexDW5Oehf1vGAHaFm.jpeg,spider
5,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-LTIEgRV5RuloawmSOcGY6QHaEo.jpeg,dog
6,../UnsupervisedLearning-JigsawPuzzle/dataset/train/cat/1553.jpeg,cat
7,../UnsupervisedLearning-JigsawPuzzle/dataset/train/butterfly/OIP-6vAWvz11xhDhND0t2wYjFAHaFj.jpeg,butterfly
8,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-qxx1phGJpmH-c-JiNrvkYAHaFj.jpeg,spider
9,../UnsupervisedLearning-JigsawPuzzle/dataset/train/butterfly/ea36b40a2ff0063ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,butterfly
10,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-aDMjHZanYG8G_ollMEB6aQHaFb.jpeg,dog
11,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-mbFV2HD5QAYTQZcthqTQ6wHaLE.jpeg,dog
12,../UnsupervisedLearning-JigsawPuzzle/dataset/train/horse/OIP-0puAjNkgIiWd9uX3z5DdqAHaGA.jpeg,horse
13,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-ijqJmA1W1GVguBgGwNIHFQHaFL.jpeg,spider
14,../UnsupervisedLearning-JigsawPuzzle/dataset/train/cow/OIP-n4ijky46arDQVr-1tSe2qwHaE7.jpeg,cow
15,../UnsupervisedLearning-JigsawPuzzle/dataset/train/squirrel/OIP-ugHvCfRkge3BVeRuC571AgHaKD.jpeg,squirrel
16,../UnsupervisedLearning-JigsawPuzzle/dataset/train/chicken/880.jpeg,chicken
17,../UnsupervisedLearning-JigsawPuzzle/dataset/train/chicken/847.jpeg,chicken
18,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-jQ0htJXbE7MeAo52_JVm4AHaEo.jpeg,dog
19,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-LNZ0SjDV2eiKQnnyPGx1uwHaFj.jpeg,spider
20,../UnsupervisedLearning-JigsawPuzzle/dataset/train/butterfly/OIP-G3eMQDU1oKC3XXKElGPTgwHaE8.jpeg,butterfly
21,../UnsupervisedLearning-JigsawPuzzle/dataset/train/elephant/OIP-nOxxXw4-1gSCPQ_VO3QPxAHaJl.jpeg,elephant
22,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-9XrhmdlwTo2M9PF7CzeElwHaGh.jpeg,dog
23,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-JCEiFRseMZm0rAmCsVaFKgHaGO.jpeg,spider
24,../UnsupervisedLearning-JigsawPuzzle/dataset/train/butterfly/ee36b10b2bf41c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg,butterfly
25,../UnsupervisedLearning-JigsawPuzzle/dataset/train/chicken/OIP-jEUZmOkfm-_ctrb_fCVsRAHaE5.jpeg,chicken
26,../UnsupervisedLearning-JigsawPuzzle/dataset/train/squirrel/OIP-L39i1NDcN-xGgnRtdmPbhAAAAA.jpeg,squirrel
27,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-PZ7KdtoC4zRuOFdw6sUeZAHaD6.jpeg,dog
28,../UnsupervisedLearning-JigsawPuzzle/dataset/train/cat/eb3db30d21f3003ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg,cat
29,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-Iw2pPLsQF85XxX49ntalbQHaE7.jpeg,spider
30,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-ksvjSId2xodCbUc0Dwp_wAHaE8.jpeg,dog
31,../UnsupervisedLearning-JigsawPuzzle/dataset/train/butterfly/OIP-6l17Miua_qbj7DsCAZAO0gHaHa.jpeg,butterfly
32,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-Y63AFgv8Dp4VJ_2yfJui3wHaE7.jpeg,spider
33,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-ASs1GMkHK7DQg2N5PJyhOwHaHH.jpeg,spider
34,../UnsupervisedLearning-JigsawPuzzle/dataset/train/horse/OIP-BnKDDighxyYIZPKTN5sk6wHaFj.jpeg,horse
35,../UnsupervisedLearning-JigsawPuzzle/dataset/train/chicken/OIP-S2eyQWRhIC6X54JIALkOZgHaFj.jpeg,chicken
36,../UnsupervisedLearning-JigsawPuzzle/dataset/train/cat/1245.jpeg,cat
37,../UnsupervisedLearning-JigsawPuzzle/dataset/train/butterfly/OIP-GU6W8E95BpF8vgkTu2YZ7AHaFj.jpeg,butterfly
38,../UnsupervisedLearning-JigsawPuzzle/dataset/train/sheep/eb32b0062ff6093ed1584d05fb1d4e9fe777ead218ac104497f5c978a6eab2b0_640.jpg,sheep
39,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-IAEQKLmyQDP3pkSmF316IgHaE7.jpeg,spider
40,../UnsupervisedLearning-JigsawPuzzle/dataset/train/sheep/OIP-s7t85nbWEXh64qNGmJfydAAAAA.jpeg,sheep
41,../UnsupervisedLearning-JigsawPuzzle/dataset/train/horse/OIP-6uWG2TTPh69kFN9VbLDuVQHaFj.jpeg,horse
42,../UnsupervisedLearning-JigsawPuzzle/dataset/train/butterfly/OIP-y7ONc_RIBeqYfcRFxNTi6QHaE9.jpeg,butterfly
43,../UnsupervisedLearning-JigsawPuzzle/dataset/train/chicken/OIP-C8nd_wXtOBFvWTmzLBF5GwAAAA.jpeg,chicken
44,../UnsupervisedLearning-JigsawPuzzle/dataset/train/cow/OIP-arMnfr9iBzjsyZCeD1_ZeAHaEo.jpeg,cow
45,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-jy3q8SHf1oV9SnFlJbqb0gHaFN.jpeg,spider
46,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-iV4Hh0GcZTeDUfre6s_AzgHaFL.jpeg,spider
47,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-WetH-_qh4MRKUVeBNzkBjwHaHi.jpeg,dog
48,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-lEEUajFQFdMR3xULjr6OswHaJ7.jpeg,dog
49,../UnsupervisedLearning-JigsawPuzzle/dataset/train/sheep/OIP-_377WuHvsq0ly2mfH28YAQHaFj.jpeg,sheep
50,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-OHd-Xpm5BGKXM7ECMPjq8QHaE8.jpeg,spider
51,../UnsupervisedLearning-JigsawPuzzle/dataset/train/horse/OIP-8BsEP_ejMEJXqrVmKBm9kwAAAA.jpeg,horse
52,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/ea35b10b2cf31c22d2524518b7444f92e37fe5d404b0144390f8c47ba6ebb4_640.jpg,spider
53,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-yZbyVzKmho9oZE28deTN4wHaKk.jpeg,dog
54,../UnsupervisedLearning-JigsawPuzzle/dataset/train/squirrel/OIP-KxU6YLxM-sOpliMoHOiqJwHaGW.jpeg,squirrel
55,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-zkYZztHK-caFuMIxwMiqkAHaE6.jpeg,spider
56,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-xMmQpPrtLyVG0ijnrWK4tgHaJ4.jpeg,dog
57,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-FccIhcRt3uEoMxYysBgHigHaFj.jpeg,dog
58,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-CjlaN58PBrXvbPEhUo1YHgHaE7.jpeg,dog
59,../UnsupervisedLearning-JigsawPuzzle/dataset/train/chicken/43.jpeg,chicken
60,../UnsupervisedLearning-JigsawPuzzle/dataset/train/chicken/1069.jpeg,chicken
61,../UnsupervisedLearning-JigsawPuzzle/dataset/train/spider/OIP-pBKTmo0O1YtGPALMUQml9AHaE8.jpeg,spider
62,../UnsupervisedLearning-JigsawPuzzle/dataset/train/sheep/eb33b80b2cf3063ed1584d05fb1d4e9fe777ead218ac104497f5c978a6eab2b0_640.jpg,sheep
63,../UnsupervisedLearning-JigsawPuzzle/dataset/train/dog/OIP-qOp6HHdzcrGVbx-Hm5mnywHaNL.jpeg,dog
64,../UnsupervisedLearning-JigsawPuzzle/dataset/train/butterfly/OIP-jFR90q_qrgWgMAGUKgxbDwHaF7.jpeg,butterfly
65,../UnsupervisedLearning-JigsawPuzzle/dataset/train/butterfly/OIP-R65AZvd9uJnaU8rfcMTapwHaE-.jpeg,butterfly
66,../UnsupervisedLearning-JigsawPuzzle/dataset/train/chicken/OIP-VpklB3DgmmaoQ5nNZwxKJgHaKF.jpeg,chicken
67,../UnsupervisedLearning-JigsawPuzzle/dataset/train/chicken/764.jpeg,chicken
